Designator,Mid X,Mid Y,Layer,Rotation
U9,64.65mm,102.545856mm,Top,0.0
U10,72.68mm,102.545856mm,Top,0.0
U11,80.275mm,102.55mm,Top,0.0
R428,71.570502mm,20.8094mm,Bottom,180.0
R427,72.92500199999999mm,7.675mm,Bottom,90.0
R426,72.565102mm,19.2008mm,Top,0.0
R425,65.450002mm,17.892699999999998mm,Top,180.0
R424,63.152902mm,17.892699999999998mm,Top,0.0
LED4,73.813902mm,6.1331mm,Top,0.0
LED3,70.415802mm,19.2008mm,Top,180.0
LED2,65.42500199999999mm,18.9741mm,Top,180.0
LED1,63.177901999999996mm,18.9741mm,Top,0.0
R422,73.92500199999999mm,11.9834mm,Bottom,270.0
C426,68.525002mm,18.215mm,Top,90.0
C425,68.525002mm,15.525mm,Top,270.0
F410,60.258202mm,12.682mm,Top,90.0
C415,74.225002mm,17.848399999999998mm,Bottom,90.0
C414,64.715002mm,16.8734mm,Bottom,270.0
U411,69.575002mm,15.4472mm,Bottom,180.0
D410,60.558201999999994mm,8.325mm,Bottom,270.0
R411,57.658202mm,8.4234mm,Bottom,0.0
D417,57.425002mm,11.0734mm,Bottom,270.0
C410,59.365002mm,16.317999999999998mm,Bottom,270.0
D412,56.808201999999994mm,11.975mm,Top,270.0
R410,56.775002mm,9.1984mm,Top,90.0
D413,58.433201999999994mm,11.975mm,Top,270.0
C411,59.225001999999996mm,11.0484mm,Bottom,90.0
R413,60.758202mm,11.0484mm,Bottom,90.0
D414,59.225001999999996mm,8.525mm,Bottom,90.0
D418,64.42500199999999mm,12.254999999999999mm,Top,90.0
D416,60.331301999999994mm,17.1266mm,Top,270.0
U410,57.725001999999996mm,16.723399999999998mm,Top,270.0
C412,57.325002mm,16.317999999999998mm,Bottom,270.0
C413,58.162102mm,14.3484mm,Top,180.0
D411,59.233502mm,8.6734mm,Top,90.0
U420,68.333202mm,9.5884mm,Bottom,270.0
R420,59.908102mm,13.6984mm,Bottom,180.0
C429,72.92500199999999mm,11.8834mm,Bottom,90.0
C427,59.723102mm,12.604700000000001mm,Bottom,0.0
C428,72.92500199999999mm,9.6943mm,Bottom,270.0
C423,62.833202mm,10.5216mm,Bottom,180.0
C421,62.833202mm,11.7132mm,Bottom,180.0
C422,62.833202mm,12.9047mm,Bottom,180.0
C424,62.833202mm,9.325mm,Bottom,0.0
R421,64.595002mm,13.079699999999999mm,Bottom,90.0
